book_id,chap_num,n,book_chap_sig
1,1.0,4745,0.0002265218500682968
1,2.0,3544,0.00021726896996780593
1,3.0,3964,0.00021595236302615977
1,4.0,3807,0.0003097935169425367
1,5.0,6774,0.00029357419062676395
1,6.0,6538,0.0002094801938970332
1,7.0,4578,0.00018437583828980622
1,8.0,3136,0.00022223888196689574
1,9.0,5093,0.00021397181363902478
1,10.0,4425,0.00016142055153317103
1,11.0,3433,0.00022795628667743035
1,12.0,5648,0.00020627808221345063
1,13.0,3336,0.0001876877001503982
1,14.0,3629,0.0002016488592335482
1,15.0,5306,0.00022507827022082605
1,16.0,6690,0.0001744805664834292
1,17.0,5631,0.0002394502584762937
2,1.0,2650,0.0002254792797126911
2,2.0,2963,0.0002526267000769775
2,3.0,4683,0.0002127917107564243
2,4.0,5923,0.00026165090721445806
2,5.0,5535,0.00018107221962457073
2,6.0,4726,0.0002874354978009699
2,7.0,4721,0.00025136361445734546
2,8.0,4502,0.00027280637926688244
2,9.0,5313,0.00025093947812928583
2,10.0,5449,0.00023780624683290442
2,11.0,6185,0.0002746739278063825
2,12.0,5617,0.00024587038556962807
2,13.0,5670,0.00020885071924604142
2,14.0,4053,0.00021017153523656353
2,15.0,4800,0.00016410511526943923
2,16.0,5856,0.0001914815656516379
2,17.0,5617,0.00021751582048177846
2,18.0,3835,0.00023745049833388533
3,1.0,3793,0.0001983134677866309
3,2.0,3998,0.0003208069151378886
3,3.0,4522,0.00028622923678160825
3,4.0,5290,0.00024152153061014005
3,5.0,6770,0.00019284681546726055
3,6.0,6898,0.0002495673022312121
3,7.0,4349,0.0002617092036954563
3,8.0,5186,0.00022050099529284762
3,9.0,5436,0.00017307606659468653
3,10.0,7276,0.0002319687734505724
3,11.0,5769,0.00025030836119321957
3,12.0,4960,0.00025097717499596666
3,13.0,4357,0.00018428315073923396
3,14.0,5708,0.00021873427954613802
3,15.0,5672,0.00020598601255549697
3,16.0,4513,0.00019824257679709487
3,17.0,4338,0.00020559954451224494
